No.	楽曲名	曲の時間	Key	Harp (Pos)	BPM	備考・演奏指示
1	横浜ホンキートンクブルース	6:00	C	F  (2nd)	71	安永さんカウント。ソロ回し:スズナ→今井→ヨッシー→グミ
2	All of Your Love	4:06	B	E (2nd)	118	今井さんは最後にマイナーに注意
3	Baby Scratch My Back	1:35	A	D (2nd)	122	スズナカウント。ハープ以外は3小節目から入る
4	Bad Boy	4:00	A	A (1st)	72	ギター始まり。スズナ・グミのソロあり
5	Blues With a Feeling	4:04	A	D (2nd)	78	イントロ11小節。歌のコーラス2小節目で上がる
6	Born in Chicago	3:32	A	D (2nd)	152	スズナカウント&イントロ。ケツ: 2回し+8小節+1回し
7	Everything Gonna Be Alright		G	C (2nd)	106	スズナのボーカル曲
8	Got My Mojo Workin'	4:08	E	A (2nd)	119	グミ・スズナユニゾン始まり。ヨッシーソロあり。ハープ終わり
9	Help Me	4:17	Fm	Bb (2nd)	112	スズナカウントで開始。スズナソロ１、今井さんソロ２（２コーラス）
10	Honest I Do	2:48	A	A (1st)	72	ハープ始まり。入り方が重要
11	Hoochie Coochie Man	4:55	A	A (1st)	72	なだれ式イントロ。ソロ:スズナ→今井(orヨッシー)
12	I'll Play the Blues for You	3:40	Am / Gm	G / LowF (3rd)	95	スズナソロ時に音量を落とす(ドラム・ベースのみにする)
13	Key to the Highway	3:21	C	F(2nd)	78	グミさんカウント (ギター始まり)
14	Killin' Floor	3:31	A	D (2nd)	119	グミさん始まり20250322動画ありhttps://www.youtube.com/watch?v=wvTohCiJ9E4&t=1765s
15	Let Me Love You Baby	3:34	A	D (2nd)	124	今井さんカウント始まり　ケツはハーモニカ
16	Little by Little	4:13	F#	Bb/B (2nd)	134	リズムを声に出して確認。今井さんカウント
17	Members Only	4:30	A	D (2nd)	68	ドラム始まり。リズムはエイト。ドンタンドドンドンタン。イントロ・ソロ：スズナ、今井さん　最後、終わって始まって１コーラス今井さんギターで終わり
18	Messin' With the Kid	3:40	C	F (2nd)	125	今井さんカウント。ケツ繰り返しなし
19	My Babe	3:03	F	Bb (2nd)	160	スズナハープ始まり。入り方・終わりに注意
20	Same Old Blues	5:21	D	G (2nd)	95	ヨッシー始まり（ピアノ）居なければスズナのカウント：グミ・スズナユニゾン
21	Stormy Monday		G	C (2nd)		安永さんカウント
22	Sweet Home Chicago	3:20	E	A (2nd)	110	ギター始まり
23	Telephone Blues		Bb	Ab (3rd)	71	ケツからハープ4小節始まり
24	That's Alright	3:45	E	A (2nd)	76	グミさん始まり
25	Walkin' by Myself	2:53	C	F (2nd)	118	安永さん or スズナカウント
26	Walkin' Out on You	4:07	C	F (2nd) / Bb (3rd)	130	タングブロックを使用する指示あり
27	You Belong to Me	3:45	C	F  (2nd)	124	ギター始まり。ドラムソロ終わり
28	You Don't Love Me		A	D (2nd)		ギター始まり
